,Date,Time,Open,High,Low,Close,Volume
2000,2011/8/19,0:00:00,3445,3500,3420,3465,10494000
1999,2011/8/22,0:00:00,3465,3525,3445,3495,6814100
1998,2011/8/23,0:00:00,3530,3610,3515,3600,8218300
1997,2011/8/24,0:00:00,3625,3640,3570,3580,6928700
1996,2011/8/25,0:00:00,3635,3640,3530,3530,5581200
1995,2011/8/26,0:00:00,3535,3545,3500,3535,3512900
1994,2011/8/29,0:00:00,3535,3575,3480,3545,3795700
1993,2011/8/30,0:00:00,3590,3620,3565,3575,3118900
1992,2011/8/31,0:00:00,3580,3600,3570,3595,2907800
1991,2011/9/1,0:00:00,3630,3630,3605,3625,3404200
1990,2011/9/2,0:00:00,3585,3615,3570,3595,3391100
1989,2011/9/5,0:00:00,3535,3545,3480,3505,2799000
1988,2011/9/6,0:00:00,3450,3480,3430,3450,3843200
1987,2011/9/7,0:00:00,3500,3505,3465,3500,4022600
1986,2011/9/8,0:00:00,3570,3580,3500,3515,2978500
1985,2011/9/9,0:00:00,3485,3525,3475,3490,7409600
1984,2011/9/12,0:00:00,3400,3415,3380,3410,4106000
1983,2011/9/13,0:00:00,3420,3455,3385,3435,3168500
1982,2011/9/14,0:00:00,3405,3410,3290,3295,7066400
1981,2011/9/15,0:00:00,3305,3325,3270,3270,7333500
1980,2011/9/16,0:00:00,3335,3425,3315,3410,6730000
1979,2011/9/20,0:00:00,3350,3395,3345,3380,3712800
1978,2011/9/21,0:00:00,3415,3440,3405,3405,4029800
1977,2011/9/22,0:00:00,3375,3380,3330,3355,3535500
1976,2011/9/26,0:00:00,3425,3435,3335,3360,5314400
1975,2011/9/27,0:00:00,3400,3505,3400,3505,4582700
1974,2011/9/28,0:00:00,3510,3530,3470,3505,3972100
1973,2011/9/29,0:00:00,3495,3560,3460,3560,4300000
1972,2011/9/30,0:00:00,3550,3560,3510,3550,3450400
1971,2011/10/3,0:00:00,3505,3510,3425,3490,4246100
1970,2011/10/4,0:00:00,3405,3410,3370,3400,4594900
1969,2011/10/5,0:00:00,3420,3445,3405,3430,3744200
1968,2011/10/6,0:00:00,3480,3530,3480,3530,3527500
1967,2011/10/7,0:00:00,3550,3560,3475,3480,2435100
1966,2011/10/11,0:00:00,3570,3575,3525,3540,3283700
1965,2011/10/12,0:00:00,3540,3560,3530,3530,3155400
1964,2011/10/13,0:00:00,3590,3600,3535,3535,2955900
1963,2011/10/14,0:00:00,3480,3490,3435,3445,5414900
1962,2011/10/17,0:00:00,3490,3495,3440,3470,3550500
1961,2011/10/18,0:00:00,3405,3425,3395,3410,2912500
1960,2011/10/19,0:00:00,3420,3475,3410,3475,3169800
1959,2011/10/20,0:00:00,3525,3525,3445,3460,3964100
1958,2011/10/21,0:00:00,3430,3520,3425,3495,2961700
1957,2011/10/24,0:00:00,3500,3560,3500,3555,3316300
1956,2011/10/25,0:00:00,3565,3565,3480,3490,3086600
1955,2011/10/26,0:00:00,3440,3560,3420,3510,4056100
1954,2011/10/27,0:00:00,3515,3545,3465,3545,2702300
1953,2011/10/28,0:00:00,3590,3610,3565,3565,3305200
1952,2011/10/31,0:00:00,3560,3630,3550,3600,4431000
1951,2011/11/1,0:00:00,3540,3610,3540,3555,2396000
1950,2011/11/2,0:00:00,3490,3500,3460,3480,2940200
1949,2011/11/4,0:00:00,3530,3540,3470,3485,3845700
1948,2011/11/7,0:00:00,3460,3470,3390,3415,3612000
1947,2011/11/8,0:00:00,3390,3445,3385,3410,2649700
1946,2011/11/9,0:00:00,3450,3460,3405,3445,2873000
1945,2011/11/10,0:00:00,3360,3390,3355,3365,3894900
1944,2011/11/11,0:00:00,3365,3460,3360,3435,4864900
1943,2011/11/14,0:00:00,3475,3480,3410,3410,2660300
1942,2011/11/15,0:00:00,3385,3410,3370,3385,2567000
1941,2011/11/16,0:00:00,3375,3435,3360,3365,2896100
1940,2011/11/17,0:00:00,3380,3405,3360,3365,2683900
1939,2011/11/18,0:00:00,3335,3365,3330,3350,2577000
1938,2011/11/21,0:00:00,3340,3365,3330,3340,1815600
1937,2011/11/22,0:00:00,3300,3320,3280,3305,3260000
1936,2011/11/24,0:00:00,3245,3290,3220,3265,3315100
1935,2011/11/25,0:00:00,3275,3340,3260,3330,3667200
1934,2011/11/28,0:00:00,3390,3390,3330,3340,2475600
1933,2011/11/29,0:00:00,3375,3420,3340,3415,3828400
1932,2011/11/30,0:00:00,3400,3425,3380,3420,3035800
1931,2011/12/1,0:00:00,3500,3505,3440,3460,3671300
1930,2011/12/2,0:00:00,3485,3485,3410,3435,3728900
1929,2011/12/5,0:00:00,3470,3470,3435,3445,1975700
1928,2011/12/6,0:00:00,3450,3475,3440,3445,2561600
1927,2011/12/7,0:00:00,3475,3500,3450,3490,2696600
1926,2011/12/8,0:00:00,3455,3485,3450,3470,2256300
1925,2011/12/9,0:00:00,3415,3460,3415,3445,8426800
1924,2011/12/12,0:00:00,3505,3505,3485,3500,2417000
1923,2011/12/13,0:00:00,3445,3470,3445,3465,2840500
1922,2011/12/14,0:00:00,3465,3465,3410,3425,2677300
1921,2011/12/15,0:00:00,3405,3425,3395,3395,2620000
1920,2011/12/16,0:00:00,3395,3415,3370,3375,2528500
1919,2011/12/19,0:00:00,3380,3420,3370,3395,2893000
1918,2011/12/20,0:00:00,3390,3420,3385,3390,1725600
1917,2011/12/21,0:00:00,3420,3450,3415,3435,2197000
1916,2011/12/22,0:00:00,3420,3435,3410,3415,2386000
1915,2011/12/26,0:00:00,3465,3475,3460,3460,2108900
1914,2011/12/27,0:00:00,3470,3480,3460,3470,1660600
1913,2011/12/28,0:00:00,3410,3440,3410,3415,2716700
1912,2011/12/29,0:00:00,3405,3410,3375,3400,1208200
1911,2011/12/30,0:00:00,3420,3420,3390,3410,1417400
1910,2012/1/4,0:00:00,3440,3450,3425,3430,2199700
1909,2012/1/5,0:00:00,3410,3415,3385,3390,1703400
1908,2012/1/6,0:00:00,3370,3390,3330,3365,2258700
1907,2012/1/10,0:00:00,3350,3360,3305,3315,3468300
1906,2012/1/11,0:00:00,3310,3320,3270,3285,2807500
1905,2012/1/12,0:00:00,3250,3265,3230,3255,3206400
1904,2012/1/13,0:00:00,3305,3360,3300,3355,4735600
1903,2012/1/16,0:00:00,3320,3325,3275,3280,1774800
1902,2012/1/17,0:00:00,3300,3320,3280,3305,1776400
1901,2012/1/18,0:00:00,3285,3345,3275,3320,3040800
1900,2012/1/19,0:00:00,3345,3375,3345,3350,2157000
1899,2012/1/20,0:00:00,3420,3445,3405,3430,3976300
1898,2012/1/23,0:00:00,3415,3425,3385,3390,1966900
1897,2012/1/24,0:00:00,3420,3430,3400,3410,1764800
1896,2012/1/25,0:00:00,3435,3525,3425,3510,4260400
1895,2012/1/26,0:00:00,3510,3515,3470,3485,2968500
1894,2012/1/27,0:00:00,3500,3515,3460,3470,3397000
1893,2012/1/30,0:00:00,3435,3455,3410,3435,2965000
1892,2012/1/31,0:00:00,3270,3315,3260,3290,11674100
1891,2012/2/1,0:00:00,3305,3305,3255,3270,5504900
1890,2012/2/2,0:00:00,3300,3305,3275,3280,4091500
1889,2012/2/3,0:00:00,3385,3400,3335,3345,11658300
1888,2012/2/6,0:00:00,3390,3410,3365,3400,6544200
1887,2012/2/7,0:00:00,3390,3400,3370,3395,4785300
1886,2012/2/8,0:00:00,3420,3445,3415,3445,5552500
1885,2012/2/9,0:00:00,3430,3490,3425,3460,5838700
1884,2012/2/10,0:00:00,3470,3485,3410,3415,6428900
1883,2012/2/13,0:00:00,3410,3460,3390,3440,4541200
1882,2012/2/14,0:00:00,3455,3505,3445,3490,5566000
1881,2012/2/15,0:00:00,3505,3560,3500,3530,8337900
1880,2012/2/16,0:00:00,3520,3550,3475,3535,6976800
1879,2012/2/17,0:00:00,3580,3605,3535,3550,8109000
1878,2012/2/20,0:00:00,3640,3645,3575,3590,3869400
1877,2012/2/21,0:00:00,3605,3635,3585,3610,4792500
1876,2012/2/22,0:00:00,3565,3590,3520,3585,5512700
1875,2012/2/23,0:00:00,3605,3625,3555,3610,5840500
1874,2012/2/24,0:00:00,3590,3620,3585,3615,5056000
1873,2012/2/27,0:00:00,3700,3710,3665,3680,6891000
1872,2012/2/28,0:00:00,3595,3685,3575,3675,5230000
1871,2012/2/29,0:00:00,3680,3735,3670,3680,5481200
1870,2012/3/1,0:00:00,3740,3765,3685,3705,5089800
1869,2012/3/2,0:00:00,3740,3750,3715,3730,3890700
1868,2012/3/5,0:00:00,3735,3770,3715,3725,4581700
1867,2012/3/6,0:00:00,3735,3735,3665,3675,3906400
1866,2012/3/7,0:00:00,3605,3670,3605,3635,4508300
1865,2012/3/8,0:00:00,3655,3720,3655,3715,3868900
1864,2012/3/9,0:00:00,3755,3790,3735,3760,8779000
1863,2012/3/12,0:00:00,3750,3780,3705,3705,4266400
1862,2012/3/13,0:00:00,3735,3745,3670,3680,5210700
1861,2012/3/14,0:00:00,3790,3820,3765,3805,5264600
1860,2012/3/15,0:00:00,3900,3975,3895,3945,7232600
1859,2012/3/16,0:00:00,3930,3970,3925,3970,4082900
1858,2012/3/19,0:00:00,3950,3960,3915,3935,2486800
1857,2012/3/21,0:00:00,3890,3930,3885,3895,3154000
1856,2012/3/22,0:00:00,3900,3935,3880,3900,3531400
1855,2012/3/23,0:00:00,3870,3900,3865,3870,2789800
1854,2012/3/26,0:00:00,3875,3915,3860,3880,2023200
1853,2012/3/27,0:00:00,3970,4015,3960,4015,4498200
