,Date,Time,Open,High,Low,Close,Volume
4494,2001/6/25,0:00:00,1664,1690,1664,1688,492000
4493,2001/6/26,0:00:00,1688,1699,1683,1695,575000
4492,2001/6/27,0:00:00,1692,1705,1681,1684,317000
4491,2001/6/28,0:00:00,1684,1693,1626,1670,497000
4490,2001/6/29,0:00:00,1698,1700,1640,1690,432000
4489,2001/7/2,0:00:00,1663,1694,1663,1677,263000
4488,2001/7/3,0:00:00,1690,1699,1678,1690,238000
4487,2001/7/4,0:00:00,1691,1691,1653,1656,363000
4486,2001/7/5,0:00:00,1627,1674,1626,1670,246000
4485,2001/7/6,0:00:00,1659,1670,1624,1638,230000
4484,2001/7/9,0:00:00,1612,1624,1588,1611,438000
4483,2001/7/10,0:00:00,1611,1615,1565,1581,324000
4482,2001/7/11,0:00:00,1563,1574,1552,1556,533000
4481,2001/7/12,0:00:00,1600,1600,1570,1579,356000
4480,2001/7/13,0:00:00,1549,1565,1540,1547,1156000
4479,2001/7/16,0:00:00,1545,1560,1528,1533,203000
4478,2001/7/17,0:00:00,1513,1546,1505,1516,303000
4477,2001/7/18,0:00:00,1517,1517,1462,1472,418000
4476,2001/7/19,0:00:00,1466,1491,1460,1477,385000
4475,2001/7/23,0:00:00,1497,1497,1422,1446,409000
4474,2001/7/24,0:00:00,1430,1460,1430,1452,375000
4473,2001/7/25,0:00:00,1432,1465,1431,1444,415000
4472,2001/7/26,0:00:00,1440,1488,1432,1445,279000
4471,2001/7/27,0:00:00,1440,1478,1440,1467,258000
4470,2001/7/30,0:00:00,1470,1477,1412,1425,369000
4469,2001/7/31,0:00:00,1405,1420,1366,1400,653000
4468,2001/8/1,0:00:00,1385,1420,1365,1393,546000
4467,2001/8/2,0:00:00,1414,1472,1401,1460,383000
4466,2001/8/3,0:00:00,1458,1468,1440,1448,216000
4465,2001/8/6,0:00:00,1435,1474,1434,1468,229000
4464,2001/8/7,0:00:00,1428,1480,1423,1470,354000
4463,2001/8/8,0:00:00,1431,1445,1419,1426,236000
4462,2001/8/9,0:00:00,1406,1412,1375,1388,482000
4461,2001/8/10,0:00:00,1388,1433,1370,1418,663000
4460,2001/8/13,0:00:00,1400,1430,1395,1400,279000
4459,2001/8/14,0:00:00,1400,1468,1400,1454,383000
4458,2001/8/15,0:00:00,1449,1449,1395,1401,331000
4457,2001/8/16,0:00:00,1374,1388,1368,1380,444000
4456,2001/8/17,0:00:00,1398,1398,1371,1384,268000
4455,2001/8/20,0:00:00,1371,1376,1365,1369,232000
4454,2001/8/21,0:00:00,1388,1390,1366,1369,278000
4453,2001/8/22,0:00:00,1379,1419,1379,1401,335000
4452,2001/8/23,0:00:00,1400,1401,1380,1380,321000
4451,2001/8/24,0:00:00,1380,1410,1370,1400,255000
4450,2001/8/27,0:00:00,1400,1400,1353,1353,388000
4449,2001/8/28,0:00:00,1350,1364,1336,1341,471000
4448,2001/8/29,0:00:00,1322,1349,1303,1305,324000
4447,2001/8/30,0:00:00,1300,1304,1263,1276,561000
4446,2001/8/31,0:00:00,1242,1275,1242,1265,352000
4445,2001/9/3,0:00:00,1250,1258,1225,1240,261000
4444,2001/9/4,0:00:00,1232,1271,1202,1256,533000
4443,2001/9/5,0:00:00,1214,1219,1201,1208,362000
4442,2001/9/6,0:00:00,1200,1240,1171,1185,797000
4441,2001/9/7,0:00:00,1158,1188,1156,1179,498000
4440,2001/9/10,0:00:00,1155,1175,1132,1133,483000
4439,2001/9/11,0:00:00,1135,1138,1095,1115,430000
4438,2001/9/12,0:00:00,1015,1049,1015,1015,417000
4437,2001/9/13,0:00:00,1000,1098,970,1081,760000
4436,2001/9/14,0:00:00,1064,1162,1064,1162,1647000
4435,2001/9/17,0:00:00,1082,1108,1051,1066,487000
4434,2001/9/18,0:00:00,1086,1135,1071,1080,469000
4433,2001/9/19,0:00:00,1091,1131,1077,1088,468000
4432,2001/9/20,0:00:00,1062,1115,1062,1086,527000
4431,2001/9/21,0:00:00,1070,1120,1066,1111,801000
4430,2001/9/25,0:00:00,1127,1135,1070,1082,605000
4429,2001/9/26,0:00:00,1066,1110,1066,1100,596000
4428,2001/9/27,0:00:00,1080,1110,1080,1100,509000
4427,2001/9/28,0:00:00,1081,1110,1081,1095,436000
4426,2001/10/1,0:00:00,1101,1138,1067,1138,442000
4425,2001/10/2,0:00:00,1149,1220,1140,1214,1102000
4424,2001/10/3,0:00:00,1274,1320,1236,1272,967000
4423,2001/10/4,0:00:00,1292,1312,1250,1265,756000
4422,2001/10/5,0:00:00,1251,1253,1200,1201,577000
4421,2001/10/9,0:00:00,1200,1268,1191,1235,437000
4420,2001/10/10,0:00:00,1235,1275,1218,1255,389000
4419,2001/10/11,0:00:00,1275,1278,1260,1272,434000
4418,2001/10/12,0:00:00,1292,1292,1232,1269,1071000
4417,2001/10/15,0:00:00,1275,1297,1261,1287,412000
4416,2001/10/16,0:00:00,1314,1348,1306,1344,724000
4415,2001/10/17,0:00:00,1345,1350,1300,1331,413000
4414,2001/10/18,0:00:00,1340,1371,1327,1365,623000
4413,2001/10/19,0:00:00,1333,1360,1313,1350,440000
4412,2001/10/22,0:00:00,1330,1350,1329,1345,277000
4411,2001/10/23,0:00:00,1332,1385,1320,1373,622000
4410,2001/10/24,0:00:00,1365,1370,1303,1329,505000
4409,2001/10/25,0:00:00,1328,1391,1328,1388,645000
4408,2001/10/26,0:00:00,1400,1444,1390,1390,661000
4407,2001/10/29,0:00:00,1389,1397,1362,1380,357000
4406,2001/10/30,0:00:00,1380,1400,1378,1399,460000
4405,2001/10/31,0:00:00,1381,1426,1381,1412,443000
4404,2001/11/1,0:00:00,1412,1430,1375,1376,334000
4403,2001/11/2,0:00:00,1378,1398,1331,1339,397000
4402,2001/11/5,0:00:00,1339,1350,1326,1349,477000
4401,2001/11/6,0:00:00,1349,1388,1342,1388,432000
4400,2001/11/7,0:00:00,1408,1413,1377,1390,666000
4399,2001/11/8,0:00:00,1385,1403,1385,1403,448000
4398,2001/11/9,0:00:00,1400,1404,1363,1372,825000
4397,2001/11/12,0:00:00,1372,1372,1350,1354,428000
4396,2001/11/13,0:00:00,1340,1340,1294,1299,362000
4395,2001/11/14,0:00:00,1303,1310,1290,1300,350000
4394,2001/11/15,0:00:00,1320,1399,1310,1383,479000
4393,2001/11/16,0:00:00,1343,1379,1302,1318,459000
4392,2001/11/19,0:00:00,1298,1354,1261,1301,385000
4391,2001/11/20,0:00:00,1305,1341,1291,1295,317000
4390,2001/11/21,0:00:00,1295,1369,1293,1346,399000
4389,2001/11/22,0:00:00,1336,1362,1326,1362,253000
4388,2001/11/26,0:00:00,1322,1380,1322,1380,400000
4387,2001/11/27,0:00:00,1327,1390,1319,1374,708000
4386,2001/11/28,0:00:00,1321,1353,1321,1335,387000
4385,2001/11/29,0:00:00,1340,1375,1305,1339,314000
4384,2001/11/30,0:00:00,1314,1398,1301,1381,330000
